trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
H-00001,2023-04-01T15:08:04Z,Coinbase,DOGE,BUY,16315.52,0.088176,1.44
H-00002,2023-04-01T21:19:18Z,Coinbase,CKB,BUY,485309.66,0.00287818,1.40
H-00003,2023-04-02T18:54:53Z,Binance,DOGE,BUY,4370.74,0.087644,0.38
H-00004,2023-04-03T15:03:19Z,Binance,CKB,SELL,149472.86,0.00247713,0.37
H-00005,2023-04-04T08:21:29Z,Coinbase,SOL,BUY,23.8656,71.777,1.71
H-00006,2023-04-04T23:38:23Z,Binance,ETH,BUY,0.844275,1497.77,1.26
H-00007,2023-04-05T03:45:29Z,Coinbase,BTC,BUY,0.01092398,34504.50,0.38
H-00008,2023-04-05T09:43:01Z,Coinbase,ETH,BUY,1.058826,1443.29,1.53
H-00009,2023-04-06T00:59:38Z,Coinbase,BTC,BUY,0.05751022,38305.84,2.20
H-00010,2023-04-06T12:11:34Z,Coinbase,BTC,SELL,0.01412272,44924.95,0.63
H-00011,2023-04-09T14:43:32Z,Binance,ETH,BUY,0.616355,1578.26,0.97
H-00012,2023-04-10T03:49:18Z,Binance,SOL,BUY,27.0202,75.757,2.05
H-00013,2023-04-11T02:17:28Z,Coinbase,DOGE,SELL,9336.73,0.097241,0.91
H-00014,2023-04-12T04:05:38Z,Binance,SOL,SELL,6.8590,71.035,0.49
H-00015,2023-04-13T03:39:59Z,Coinbase,BTC,BUY,0.01532730,42770.89,0.66
H-00016,2023-04-13T13:54:50Z,Binance,ETH,BUY,1.334850,1382.74,1.85
H-00017,2023-04-15T11:18:19Z,Coinbase,BTC,SELL,0.06963878,35852.32,2.50
H-00018,2023-04-15T14:21:41Z,Coinbase,CKB,SELL,52695.73,0.00255349,0.13
H-00019,2023-04-16T00:30:45Z,Coinbase,BTC,BUY,0.04662069,37417.78,1.74
H-00020,2023-04-16T18:27:39Z,Coinbase,DOGE,SELL,1178.58,0.091328,0.11
H-00021,2023-04-18T20:02:36Z,Coinbase,ETH,SELL,3.854306,1567.81,6.04
H-00022,2023-04-20T01:17:14Z,Coinbase,CKB,BUY,447445.43,0.00233210,1.04
H-00023,2023-04-20T15:42:22Z,Coinbase,BTC,BUY,0.04845724,39081.82,1.89
H-00024,2023-04-22T05:49:15Z,Coinbase,BTC,BUY,0.03353149,44824.55,1.50
H-00025,2023-04-22T14:55:30Z,Coinbase,SOL,SELL,18.0097,66.919,1.21
H-00026,2023-04-22T23:29:21Z,Coinbase,BTC,BUY,0.01004165,39712.45,0.40
H-00027,2023-04-23T22:12:45Z,Binance,DOGE,BUY,28563.12,0.076873,2.20
H-00028,2023-04-24T02:01:59Z,Binance,SOL,BUY,4.0091,82.185,0.33
H-00029,2023-04-24T20:11:59Z,Binance,SOL,BUY,33.1117,72.537,2.40
H-00030,2023-04-25T12:21:41Z,Binance,ETH,BUY,0.581437,1292.53,0.75
H-00031,2023-04-27T18:52:31Z,Coinbase,DOGE,SELL,16034.91,0.079330,1.27
H-00032,2023-05-01T02:39:40Z,Coinbase,DOGE,BUY,12555.25,0.095970,1.20
H-00033,2023-05-01T06:08:44Z,Coinbase,SOL,BUY,4.5200,68.689,0.31
H-00034,2023-05-01T08:12:14Z,Coinbase,SOL,SELL,8.0380,78.838,0.63
H-00035,2023-05-02T15:49:19Z,Coinbase,SOL,BUY,32.4876,67.133,2.18
H-00036,2023-05-03T05:26:47Z,Binance,CKB,BUY,885103.63,0.00270301,2.39
H-00037,2023-05-03T16:12:50Z,Binance,CKB,SELL,566596.11,0.00296544,1.68
H-00038,2023-05-04T04:15:49Z,Binance,CKB,SELL,369569.07,0.00232901,0.86
H-00039,2023-05-05T01:58:02Z,Binance,BTC,BUY,0.03089026,38158.69,1.18
H-00040,2023-05-07T18:16:26Z,Coinbase,SOL,BUY,10.9264,74.572,0.81
H-00041,2023-05-08T22:38:40Z,Coinbase,DOGE,SELL,13360.77,0.078049,1.04
H-00042,2023-05-09T12:06:09Z,Binance,SOL,BUY,29.8937,71.961,2.15
H-00043,2023-05-09T20:28:06Z,Coinbase,SOL,BUY,25.1314,68.022,1.71
H-00044,2023-05-09T20:59:11Z,Coinbase,CKB,SELL,286587.36,0.00237070,0.68
H-00045,2023-05-10T21:21:39Z,Binance,ETH,BUY,1.327118,1580.91,2.10
H-00046,2023-05-11T01:09:13Z,Coinbase,CKB,SELL,106433.50,0.00267944,0.29
H-00047,2023-05-11T04:18:47Z,Binance,ETH,SELL,0.287372,1381.39,0.40
H-00048,2023-05-12T05:19:57Z,Binance,SOL,BUY,18.4397,86.898,1.60
H-00049,2023-05-12T21:22:55Z,Binance,ETH,BUY,1.303217,1364.46,1.78
H-00050,2023-05-13T02:26:15Z,Coinbase,CKB,BUY,434733.45,0.00231430,1.01
H-00051,2023-05-13T21:01:21Z,Binance,DOGE,BUY,22459.01,0.085002,1.91
H-00052,2023-05-15T14:00:48Z,Binance,SOL,BUY,22.2804,89.463,1.99
H-00053,2023-05-15T20:19:50Z,Coinbase,SOL,BUY,18.0160,82.731,1.49
H-00054,2023-05-15T23:13:54Z,Coinbase,CKB,SELL,290176.74,0.00269588,0.78
H-00055,2023-05-16T02:07:25Z,Binance,BTC,BUY,0.05033354,43791.37,2.20
H-00056,2023-05-17T06:55:15Z,Coinbase,DOGE,BUY,8119.41,0.100980,0.82
H-00057,2023-05-19T04:52:55Z,Binance,CKB,BUY,163436.81,0.00303646,0.50
H-00058,2023-05-19T09:22:48Z,Coinbase,CKB,BUY,773570.72,0.00302055,2.34
H-00059,2023-05-19T19:09:35Z,Binance,DOGE,SELL,13608.23,0.088248,1.20
H-00060,2023-05-20T08:56:39Z,Binance,SOL,SELL,97.1320,86.005,8.35
H-00061,2023-05-20T20:47:01Z,Coinbase,CKB,SELL,707950.12,0.00267249,1.89
H-00062,2023-05-21T16:54:07Z,Coinbase,BTC,SELL,0.09223220,45895.63,4.23
H-00063,2023-05-21T19:45:05Z,Binance,BTC,BUY,0.06081504,37442.96,2.28
H-00064,2023-05-22T19:55:11Z,Coinbase,DOGE,SELL,38863.83,0.094227,3.66
H-00065,2023-05-26T18:24:55Z,Coinbase,ETH,BUY,0.374768,1574.81,0.59
H-00066,2023-05-26T23:13:34Z,Binance,BTC,BUY,0.02942804,48545.29,1.43
H-00067,2023-05-28T00:10:05Z,Coinbase,CKB,SELL,312670.47,0.00305208,0.95
H-00068,2023-05-28T12:11:28Z,Coinbase,BTC,BUY,0.04584702,40840.42,1.87
H-00069,2023-05-28T19:22:07Z,Binance,ETH,BUY,1.073089,1335.52,1.43
H-00070,2023-05-30T10:19:54Z,Coinbase,CKB,SELL,347447.74,0.00315236,1.10
H-00071,2023-05-31T03:45:28Z,Coinbase,BTC,SELL,0.26373277,40345.01,10.64
H-00072,2023-06-01T05:46:48Z,Coinbase,DOGE,BUY,22793.21,0.090650,2.07
H-00073,2023-06-01T17:40:35Z,Coinbase,SOL,SELL,14.8265,69.415,1.03
H-00074,2023-06-01T22:07:03Z,Coinbase,SOL,BUY,14.1817,71.560,1.01
H-00075,2023-06-01T23:23:19Z,Coinbase,CKB,BUY,223773.26,0.00263222,0.59
H-00076,2023-06-02T11:56:43Z,Coinbase,SOL,BUY,15.0595,90.992,1.37
H-00077,2023-06-02T12:55:55Z,Binance,BTC,BUY,0.05887193,42269.39,2.49
H-00078,2023-06-03T19:10:05Z,Coinbase,DOGE,SELL,7361.25,0.088065,0.65
H-00079,2023-06-04T23:29:34Z,Coinbase,ETH,SELL,1.207966,1653.19,2.00
H-00080,2023-06-07T08:45:56Z,Binance,SOL,SELL,40.6397,84.723,3.44
H-00081,2023-06-07T11:56:59Z,Binance,BTC,BUY,0.04062797,38835.22,1.58
H-00082,2023-06-07T19:17:21Z,Binance,ETH,SELL,1.213893,1366.95,1.66
H-00083,2023-06-08T11:40:25Z,Binance,CKB,BUY,323145.23,0.00316957,1.02
H-00084,2023-06-08T22:50:59Z,Binance,DOGE,SELL,1743.14,0.090838,0.16
H-00085,2023-06-10T10:39:05Z,Binance,CKB,SELL,247217.50,0.00281667,0.70
H-00086,2023-06-10T16:56:53Z,Binance,DOGE,BUY,25953.38,0.088764,2.30
H-00087,2023-06-11T04:27:24Z,Coinbase,ETH,BUY,0.694282,1746.12,1.21
H-00088,2023-06-11T10:40:03Z,Coinbase,BTC,BUY,0.05067013,47834.27,2.42
H-00089,2023-06-11T18:58:20Z,Binance,BTC,SELL,0.06829461,44437.63,3.03
H-00090,2023-06-13T04:37:32Z,Coinbase,SOL,SELL,93.4381,82.258,7.69
H-00091,2023-06-16T04:30:07Z,Binance,BTC,BUY,0.03539529,42233.07,1.49
H-00092,2023-06-17T21:26:30Z,Coinbase,DOGE,SELL,13451.89,0.106955,1.44
H-00093,2023-06-18T00:16:37Z,Binance,CKB,BUY,103999.67,0.00310880,0.32
H-00094,2023-06-18T02:44:49Z,Binance,CKB,SELL,151650.85,0.00280529,0.43
H-00095,2023-06-18T13:42:12Z,Binance,ETH,SELL,2.644680,1564.37,4.14
H-00096,2023-06-18T14:04:10Z,Binance,SOL,BUY,12.2095,74.389,0.91
H-00097,2023-06-18T21:55:12Z,Binance,SOL,SELL,12.2095,93.860,1.15
H-00098,2023-06-19T19:27:46Z,Binance,DOGE,BUY,18053.29,0.089668,1.62
H-00099,2023-06-20T04:13:35Z,Binance,DOGE,BUY,15361.72,0.100298,1.54
H-00100,2023-06-20T21:53:31Z,Binance,DOGE,BUY,15305.97,0.102710,1.57
H-00101,2023-06-21T09:34:37Z,Coinbase,BTC,BUY,0.06125791,38837.19,2.38
H-00102,2023-06-23T06:41:28Z,Binance,ETH,BUY,0.650079,1736.68,1.13
H-00103,2023-06-24T03:38:53Z,Coinbase,CKB,BUY,448409.26,0.00319375,1.43
H-00104,2023-06-24T04:52:29Z,Coinbase,CKB,BUY,775099.72,0.00264130,2.05
H-00105,2023-06-24T16:52:38Z,Coinbase,BTC,BUY,0.01105738,47162.10,0.52
H-00106,2023-06-26T21:31:04Z,Coinbase,ETH,BUY,0.316831,1539.06,0.49
H-00107,2023-06-27T04:16:35Z,Coinbase,SOL,BUY,4.7774,95.722,0.46
H-00108,2023-06-28T08:37:27Z,Coinbase,DOGE,BUY,9071.25,0.099206,0.90
H-00109,2023-06-28T19:16:33Z,Binance,CKB,SELL,601568.68,0.00266197,1.60
H-00110,2023-06-29T23:36:24Z,Binance,ETH,BUY,1.319507,1776.66,2.34
H-00111,2023-06-30T20:24:54Z,Coinbase,ETH,BUY,0.836591,1625.17,1.36
H-00112,2023-07-01T02:05:10Z,Binance,CKB,BUY,957662.60,0.00247613,2.37
H-00113,2023-07-01T10:58:23Z,Coinbase,ETH,SELL,1.628414,1668.16,2.72
H-00114,2023-07-02T15:28:02Z,Coinbase,SOL,BUY,25.0741,85.381,2.14
H-00115,2023-07-03T13:32:54Z,Binance,SOL,BUY,11.0668,91.260,1.01
H-00116,2023-07-04T01:28:15Z,Coinbase,SOL,BUY,3.7544,85.979,0.32
H-00117,2023-07-04T03:48:15Z,Coinbase,DOGE,BUY,4144.71,0.103555,0.43
H-00118,2023-07-04T11:44:07Z,Binance,SOL,BUY,10.2726,92.172,0.95
H-00119,2023-07-04T16:39:46Z,Coinbase,ETH,SELL,1.494594,1685.47,2.52
H-00120,2023-07-06T17:26:02Z,Binance,CKB,BUY,170634.02,0.00293031,0.50
H-00121,2023-07-08T04:54:07Z,Coinbase,SOL,SELL,28.6430,96.159,2.75
H-00122,2023-07-08T16:29:04Z,Coinbase,DOGE,BUY,12897.10,0.108629,1.40
H-00123,2023-07-08T17:36:55Z,Coinbase,CKB,BUY,317514.77,0.00319872,1.02
H-00124,2023-07-09T11:03:30Z,Binance,DOGE,BUY,24248.33,0.093289,2.26
H-00125,2023-07-09T18:37:30Z,Binance,DOGE,BUY,24647.39,0.098291,2.42
H-00126,2023-07-11T12:10:47Z,Coinbase,BTC,BUY,0.01174308,46895.99,0.55
