trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
BAD-01,2026-01-05T09:00:00Z,Binance,BTC,BUY,0.1,95000.00,9.50
BAD-01,2026-01-06T09:00:00Z,Binance,ETH,BUY,1,3300.00,3.30
BAD-03,2026-01-07 09:00:00,Coinbase,ETH,BUY,1,3300.00,3.30
BAD-04,2026-02-30T09:00:00Z,Coinbase,SOL,BUY,5,150.000,0.75
BAD-05,2026-01-09T09:00:00Z,Kraken,BTC,BUY,0.1,95000.00,9.50
BAD-06,2026-01-10T09:00:00Z,Binance,ADA,BUY,100,0.90,0.09
BAD-07,2026-01-11T09:00:00Z,Binance,BTC,HOLD,0.1,95000.00,9.50
BAD-08,2026-01-12T09:00:00Z,Coinbase,DOGE,BUY,0,0.180000,0.00
BAD-09,2026-01-13T09:00:00Z,Coinbase,DOGE,BUY,1000,-0.18,0.18
BAD-10,2026-01-14T09:00:00Z,Binance,CKB,BUY,1e5,0.00700,0.70
BAD-11,2026-01-15T09:00:00Z,Binance,BTC,SELL,0.5,99000.00,49.50
BAD-12,2026-01-16T09:00:00Z,Coinbase,ETH,BUY,1,3300.00,
