trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
ST-001,2026-01-05T09:00:00Z,Binance,BTC,BUY,0.05,92000.00,4.60
ST-002,2026-01-06T10:30:00Z,Coinbase,ETH,BUY,1.5,3300.00,4.95
ST-003,2026-01-08T14:00:00Z,Binance,SOL,BUY,20,150.000,3.00
ST-004,2026-01-12T08:15:00Z,Coinbase,DOGE,BUY,20000,0.180000,3.60
ST-005,2026-01-20T16:45:00Z,Binance,BTC,BUY,0.03,98000.00,2.94
ST-006,2026-02-02T11:00:00Z,Coinbase,ETH,BUY,0.5,3600.00,1.80
ST-007,2026-02-10T13:20:00Z,Binance,SOL,SELL,8,185.000,1.48
ST-008,2026-02-14T09:40:00Z,Coinbase,ETH,SELL,2,3900.00,7.80
ST-009,2026-02-20T18:05:00Z,Binance,DOGE,BUY,15000,0.210000,3.15
ST-010,2026-02-25T07:30:00Z,Coinbase,BTC,SELL,0.04,105000.00,4.20
ST-011,2026-03-03T12:00:00Z,Binance,SOL,SELL,12,220.000,2.64
ST-012,2026-03-10T15:10:00Z,Coinbase,ETH,BUY,0.8,3750.00,3.00
ST-013,2026-03-18T10:00:00Z,Binance,BTC,BUY,0.01,108000.00,1.08
ST-014,2026-03-25T20:30:00Z,Coinbase,DOGE,SELL,5000,0.250000,1.25
